,,,,,,,,,,,,,,,,,,,,,,,,
idpub,brdxdy,sexrsp,deatyr,pi5760,pop57,yrer74,mx001rer,ru024rec,mz023rer,gx201re,gu024re,iz023rer,gi503re,hx201re,hu024re,jz023rer,hi503rea,q1x001rer,q1u024re,q1z023rer,q1i503rea,q1c003re,hd201kd,dglev
900809,39,2,-2,66,6,40,,7,,3,5,2,0,3,-2,2,6,4,-2,0,10,2,3,-2
900812,39,2,-2,86,2,0,4,0,5,1,0,1,10,3,-2,1,6,4,-2,6,0,1,2,-2
900813,38,1,2013,35,6,270,4,0,15,3,-5,2,-5,,,,,,,,,,,-2
900814,39,2,-2,14,3,0,4,-2,3,1,-2,10,-2,1,-2,16,-2,,,,,,10,-2
900828,39,1,-2,-3,2,125,5,0,2,2,0,3,8,1,-2,3,4,4,-2,25,3,2,2,3
900829,38,1,-2,-3,7,120,4,0,8,2,0,8,6,2,-2,4,6,5,-2,2,6,1,3,-2
900830,39,1,-2,66,6,-3,,0,,4,0,,7,4,-2,,4,2,-2,0,0,1,1,-2
900832,40,1,2019,116,3,158,4,0,1,3,0,1,8,3,-2,5,5,,,,,,2,4
900833,39,2,-2,73,8,60,4,-2,2,2,-2,5,-2,2,-2,,-2,,,,,,2,-2
900835,39,1,2017,-3,4,102,4,0,0,3,0,0,6,,,,,,,,,,,-2
900838,39,2,2001,31,2,0,5,0,0,,,,,,,,,,,,,,,-2
900842,39,2,-2,93,6,0,,0,,3,0,10,8,3,-2,,4,,,,,,3,-2
900843,39,2,-2,37,6,90,4,3,3,3,3,0,12,2,-2,0,6,3,-2,4,-2,2,5,2
900846,39,2,-2,18,4,0,4,-2,4,2,-2,1,-2,2,-2,2,-2,,,,,,2,-2
900847,38,1,2013,44,4,0,,,,3,0,,7,,,,,,,,,,,-2
900848,39,2,-2,20,7,-3,4,0,1,3,0,4,10,2,-2,0,7,,,,,,4,-2
900849,39,1,2008,39,4,150,4,0,3,3,5,4,-3,,,,,,,,,,,-2
900851,39,1,-2,48,6,125,4,0,6,2,0,2,11,2,-2,2,9,3,-2,0,6,1,2,-2
900853,39,2,-2,-3,9,60,5,0,1,1,0,0,11,2,-2,-29,7,,,,,,2,-2
900854,38,2,2007,50,8,0,5,-2,4,2,-2,2,-2,,,,,,,,,,,-2
900859,39,2,-2,37,6,8,4,6,4,2,0,4,10,3,-2,,9,,,,,,3,-2
900860,39,2,1975,84,9,16,,,,,,,,,,,,,,,,,,-2
900866,38,1,-2,45,9,130,,,,1,-2,0,-2,1,-2,3,-2,,,,,,5,-2
900867,38,1,-2,67,6,468,4,0,5,1,0,4,4,1,-2,8,6,,,,,,3,-2
900870,-3,2,9995,27,6,-3,,,,,,,,,,,,,,,,,,-3
